Name,Type,Diameter (km),Mass (Earth=1),Mean Distance from Sun (AU),Orbital Period (years),Rotation Period (days),Inclination of Axis (degrees),Gravity at Equator (Earth=1),Number of Moons,Rings,URI
Sun,Star,1392000,333000,0,0,25.05,7.25,28,0,FALSE,http://en.wikipedia.org/wiki/Sun
Mercury,Terrestrial planet,4878,0.055,0.39,0.24,58.65,0,0.38,0,FALSE,http://en.wikipedia.org/wiki/Mercury_(planet)
Venus,Terrestrial planet,12104,0.815,0.72,0.62,-243,177.4,0.9,0,FALSE,http://en.wikipedia.org/wiki/Venus
Earth,Terrestrial planet,12756,1,1,1,1,23.45,1,1,FALSE,http://en.wikipedia.org/wiki/Earth
Mars,Terrestrial planet,6787,0.107,1.52,1.88,1.03,23.98,0.38,2,FALSE,http://en.wikipedia.org/wiki/Mars
Jupiter,Gas giant,142800,318,5.2,11.86,0.41,3.08,2.64,63,TRUE,http://en.wikipedia.org/wiki/Jupiter
Saturn,Gas giant,120000,95,9.54,29.46,0.44,26.73,0.93,62,TRUE,http://en.wikipedia.org/wiki/Saturn
Uranus,Gas giant,51118,15,19.18,84.01,-0.72,97.92,0.89,27,TRUE,http://en.wikipedia.org/wiki/Uranus
Neptune,Gas giant,49528,17,30.06,164.8,0.72,28.8,1.12,13,TRUE,http://en.wikipedia.org/wiki/Neptune
Ceres,Dwarf planet,974.6,0.00016,2.76596,4.599,0.378,3,0.028,0,FALSE,http://en.wikipedia.org/wiki/Ceres_(dwarf_planet)
Pluto,Dwarf planet,2300,0.002,39.44,247.7,-6.38,122,0.06,3,FALSE,http://en.wikipedia.org/wiki/Pluto
Haumea,Dwarf planet,1300,0.0007,43.335,285.4,0.163,,0.045,2,FALSE,http://en.wikipedia.org/wiki/Haumea_(dwarf_planet)
Makemake,Dwarf planet,1420,0.00067,45.791,309.88,0.32,,0.051,0,FALSE,http://en.wikipedia.org/wiki/Makemake_(dwarf_planet)
Eris,Dwarf planet,2326,0.0028,67.6681,557,1,,0.082,1,FALSE,http://en.wikipedia.org/wiki/Eris_(dwarf_planet)
